order_id,user_pseudo_id,session_id,order_created_at,item_id,item_name,product_category,price_tier,quantity,item_price,order_revenue,payment_method,is_returned,intent_level,dropoff_reason
ord_f76e77,uid_7019fa05,sess_uid_7019fa05_20230930230700,2023-09-30 23:16:42,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,3,24.99,24.99,credit_card,False,high,converted
ord_1bacfb,uid_4e5e2689,sess_uid_4e5e2689_20230524082800,2023-05-24 08:35:55,LUM-BDL-03,Scalp Care Complete Duo,Bundle,mid,1,44.99,44.99,apple_pay,False,very_high,converted
ord_408367,uid_7924ab58,sess_uid_7924ab58_20230929231300,2023-09-29 23:16:51,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,43.98,credit_card,False,very_high,converted
ord_5d93c5,uid_3b0bfb0a,sess_uid_3b0bfb0a_20230404220500,2023-04-04 22:10:28,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,2,22.99,45.98,credit_card,False,high,converted
ord_ec3712,uid_28b034d3,sess_uid_28b034d3_20231006105700,2023-10-06 11:05:23,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,74.97,paypal,False,very_high,converted
ord_0bd40a,uid_29aada7d,sess_uid_29aada7d_20230619122600,2023-06-19 12:35:29,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,39.99,shop_pay,False,very_high,converted
ord_a00cda,uid_29aada7d,sess_uid_29aada7d_20230804002600,2023-08-04 00:34:28,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,3,24.99,24.99,credit_card,False,very_high,converted
ord_31bb94,uid_6a9436f6,sess_uid_6a9436f6_20231022144100,2023-10-22 14:45:37,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,65.97,credit_card,False,very_high,converted
ord_fb4db4,uid_0e735c47,sess_uid_0e735c47_20230723135300,2023-07-23 13:59:19,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,24.99,paypal,False,very_high,decision_friction
ord_ffbbbf,uid_ff78a37b,sess_uid_ff78a37b_20230530044300,2023-05-30 04:45:46,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,3,21.99,21.99,credit_card,False,low,distraction
ord_422498,uid_6eeb2c1f,sess_uid_6eeb2c1f_20230826051400,2023-08-26 05:18:53,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,49.98,credit_card,False,very_high,converted
ord_8e0e85,uid_8aacda28,sess_uid_8aacda28_20230902032000,2023-09-02 03:27:11,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,24.99,apple_pay,False,very_high,converted
ord_78113e,uid_bcd25c4b,sess_uid_bcd25c4b_20231002001900,2023-10-02 00:23:49,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,43.98,shop_pay,False,very_high,converted
ord_c4b6da,uid_395757b8,sess_uid_395757b8_20231014211100,2023-10-14 21:16:12,LUM-BDL-03,Scalp Care Complete Duo,Bundle,mid,1,44.99,134.97,shop_pay,False,very_high,converted
ord_243675,uid_5b07ba6d,sess_uid_5b07ba6d_20231202182600,2023-12-02 18:30:43,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,2,23.99,23.99,shop_pay,False,very_high,converted
ord_db6d31,uid_3c072476,sess_uid_3c072476_20230515154500,2023-05-15 15:50:30,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,49.98,paypal,False,very_high,decision_friction
ord_547e42,uid_3c072476,sess_uid_3c072476_20230711234500,2023-07-11 23:48:57,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,2,21.99,43.98,credit_card,False,very_high,converted
ord_3b1662,uid_3c072476,sess_uid_3c072476_20230725064500,2023-07-25 06:51:47,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,2,42.99,85.98,shop_pay,False,very_high,converted
ord_127cdb,uid_90bfd829,sess_uid_90bfd829_20231204115700,2023-12-04 12:01:33,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,1,21.99,21.99,credit_card,False,high,converted
ord_6698bc,uid_8e3b1ea5,sess_uid_8e3b1ea5_20230411014900,2023-04-11 01:53:11,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,3,21.99,21.99,shop_pay,False,high,converted
ord_5335f5,uid_2e5c71a4,sess_uid_2e5c71a4_20231013084500,2023-10-13 08:53:49,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,1,22.99,22.99,shop_pay,False,high,decision_friction
ord_ccf936,uid_c266d332,sess_uid_c266d332_20230529135500,2023-05-29 14:03:49,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,3,21.99,21.99,shop_pay,False,very_high,converted
ord_3f61a0,uid_51f887bf,sess_uid_51f887bf_20230904132200,2023-09-04 13:27:18,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,1,21.99,21.99,paypal,False,very_high,converted
ord_701f40,uid_13289885,sess_uid_13289885_20230928224100,2023-09-28 22:45:25,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,2,39.99,39.99,credit_card,False,very_high,converted
ord_73f988,uid_28828573,sess_uid_28828573_20231029085500,2023-10-29 09:04:36,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,21.99,credit_card,False,high,converted
ord_fd671a,uid_ef9bc4f2,sess_uid_ef9bc4f2_20230821044200,2023-08-21 04:49:37,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,2,39.99,39.99,credit_card,False,high,converted
ord_e02692,uid_ef9bc4f2,sess_uid_ef9bc4f2_20230917144200,2023-09-17 14:46:02,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,49.98,credit_card,False,high,converted
ord_fdc47b,uid_138383b2,sess_uid_138383b2_20230721074400,2023-07-21 07:55:45,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,24.99,shop_pay,False,very_high,decision_friction
ord_e07b68,uid_4e4d1ffd,sess_uid_4e4d1ffd_20230921205800,2023-09-21 21:02:36,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,3,22.99,22.99,apple_pay,False,very_high,converted
ord_d56a58,uid_04068ba9,sess_uid_04068ba9_20230911145200,2023-09-11 14:55:19,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,3,23.99,71.97,apple_pay,False,very_high,converted
ord_76e518,uid_8cc518eb,sess_uid_8cc518eb_20230518091300,2023-05-18 09:19:21,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,paypal,False,high,converted
ord_0d505c,uid_e1f8abe3,sess_uid_e1f8abe3_20230502053600,2023-05-02 05:41:01,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,42.99,paypal,False,very_high,converted
ord_330fb9,uid_76c0e43d,sess_uid_76c0e43d_20230907015700,2023-09-07 02:08:57,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,3,23.99,23.99,apple_pay,False,high,converted
ord_5a5241,uid_e482ff08,sess_uid_e482ff08_20230718182800,2023-07-18 18:36:16,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,1,23.99,71.97,apple_pay,False,high,comparison_intent
ord_8539e6,uid_0e3e6f5d,sess_uid_0e3e6f5d_20230625184300,2023-06-25 18:46:33,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,42.99,credit_card,False,very_high,converted
ord_a247c0,uid_3c9d5091,sess_uid_3c9d5091_20231129012500,2023-11-29 01:31:19,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,49.98,shop_pay,True,very_high,converted
ord_6c849d,uid_c990b60b,sess_uid_c990b60b_20230627040800,2023-06-27 04:11:13,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,1,21.99,43.98,shop_pay,False,very_high,converted
ord_83849a,uid_c990b60b,sess_uid_c990b60b_20230716010800,2023-07-16 01:13:15,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,3,22.99,22.99,credit_card,False,very_high,converted
ord_1abbf5,uid_c990b60b,sess_uid_c990b60b_20230828000800,2023-08-28 00:13:47,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,49.98,credit_card,False,very_high,converted
ord_f9b380,uid_c990b60b,sess_uid_c990b60b_20230926020800,2023-09-26 02:16:13,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,2,42.99,42.99,credit_card,False,very_high,converted
ord_6faca5,uid_06ea9789,sess_uid_06ea9789_20230914221000,2023-09-14 22:14:16,LUM-BDL-03,Scalp Care Complete Duo,Bundle,mid,1,44.99,44.99,paypal,False,high,price_barrier
ord_5a0d22,uid_717d0a53,sess_uid_717d0a53_20231026013700,2023-10-26 01:41:09,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,paypal,False,high,converted
ord_f1bbac,uid_245e7e34,sess_uid_245e7e34_20231107220600,2023-11-07 22:15:22,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,1,21.99,43.98,apple_pay,False,very_high,decision_friction
ord_774a90,uid_370004be,sess_uid_370004be_20230705221900,2023-07-05 22:26:12,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,1,23.99,23.99,credit_card,False,very_high,decision_friction
ord_0050e7,uid_82384ecd,sess_uid_82384ecd_20230519182800,2023-05-19 18:38:46,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,39.99,apple_pay,False,very_high,converted
ord_534610,uid_b6dd85a4,sess_uid_b6dd85a4_20230620202500,2023-06-20 20:36:54,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,49.98,credit_card,False,very_high,decision_friction
ord_ee654c,uid_d474d3bd,sess_uid_d474d3bd_20231105015000,2023-11-05 01:56:45,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,1,22.99,45.98,shop_pay,False,high,converted
ord_189e48,uid_349bf37c,sess_uid_349bf37c_20230712041500,2023-07-12 04:25:30,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,3,22.99,45.98,paypal,False,very_high,converted
ord_a9ca7a,uid_a20873e6,sess_uid_a20873e6_20231116084300,2023-11-16 08:49:15,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,2,21.99,43.98,credit_card,False,high,comparison_intent
ord_cfda51,uid_ffe35700,sess_uid_ffe35700_20230919212200,2023-09-19 21:29:28,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,39.99,credit_card,False,very_high,converted
ord_f2c7cd,uid_8083cab8,sess_uid_8083cab8_20230917023600,2023-09-17 02:41:45,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,24.99,apple_pay,False,high,converted
ord_550532,uid_78cd2a42,sess_uid_78cd2a42_20230810000100,2023-08-10 00:06:27,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,2,21.99,21.99,shop_pay,False,very_high,price_barrier
ord_5f8f3b,uid_04663f04,sess_uid_04663f04_20230727093100,2023-07-27 09:34:27,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,2,22.99,22.99,credit_card,False,very_high,converted
ord_962d91,uid_93b54e74,sess_uid_93b54e74_20230705224500,2023-07-05 22:49:03,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,1,21.99,43.98,credit_card,False,high,converted
ord_938093,uid_545ce40d,sess_uid_545ce40d_20230908103600,2023-09-08 10:42:48,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,79.98,credit_card,False,high,converted
ord_8876a8,uid_0f046633,sess_uid_0f046633_20230527065600,2023-05-27 07:04:37,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,43.98,credit_card,False,very_high,converted
ord_5fb1bc,uid_8ac56418,sess_uid_8ac56418_20230802055300,2023-08-02 05:56:48,LUM-VP-01,Full Routine Bundle (Shampoo + Conditioner + Body Wash),Value Pack,high,1,59.99,59.99,paypal,False,high,converted
ord_5eefa0,uid_264219f3,sess_uid_264219f3_20230628212400,2023-06-28 21:29:42,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,39.99,apple_pay,False,very_high,converted
ord_58bfca,uid_7ddf0db2,sess_uid_7ddf0db2_20230926031000,2023-09-26 03:14:39,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,credit_card,False,very_high,converted
ord_9c3697,uid_d9f83194,sess_uid_d9f83194_20230408043100,2023-04-08 04:36:42,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,paypal,True,very_high,converted
ord_a24a56,uid_c26303c8,sess_uid_c26303c8_20230614034300,2023-06-14 03:47:26,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,2,39.99,79.98,apple_pay,False,very_high,converted
ord_e28e70,uid_e2c6bce0,sess_uid_e2c6bce0_20230802042700,2023-08-02 04:31:40,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,apple_pay,False,high,converted
ord_33a1b2,uid_7a26e152,sess_uid_7a26e152_20231014183200,2023-10-14 18:37:40,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,24.99,credit_card,False,very_high,converted
ord_70aea8,uid_553f322e,sess_uid_553f322e_20231112200000,2023-11-12 20:10:06,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,43.98,credit_card,False,very_high,converted
ord_611cb5,uid_1e6590ea,sess_uid_1e6590ea_20230916143600,2023-09-16 14:39:44,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,39.99,credit_card,False,very_high,converted
ord_b982e2,uid_8c489900,sess_uid_8c489900_20230809090500,2023-08-09 09:08:44,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,24.99,credit_card,False,very_high,converted
ord_53d5dc,uid_ea96f94c,sess_uid_ea96f94c_20231125041100,2023-11-25 04:17:17,LUM-BDL-03,Scalp Care Complete Duo,Bundle,mid,1,44.99,44.99,shop_pay,False,very_high,converted
ord_9173af,uid_7ab9d527,sess_uid_7ab9d527_20230809060000,2023-08-09 06:12:16,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,3,21.99,21.99,shop_pay,False,very_high,converted
ord_d8494a,uid_7b358e23,sess_uid_7b358e23_20230522033000,2023-05-22 03:34:29,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,39.99,paypal,False,very_high,converted
ord_3b7ae8,uid_5a78d5a0,sess_uid_5a78d5a0_20230630071200,2023-06-30 07:18:11,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,49.98,credit_card,True,high,converted
ord_1bd3a1,uid_16bd6427,sess_uid_16bd6427_20230827195600,2023-08-27 20:00:39,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,2,39.99,39.99,apple_pay,False,high,converted
ord_505f77,uid_9b9915bf,sess_uid_9b9915bf_20230821070600,2023-08-21 07:10:08,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,43.98,paypal,False,very_high,converted
ord_41a5d0,uid_16a82a5c,sess_uid_16a82a5c_20230831115500,2023-08-31 12:00:56,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,paypal,False,very_high,converted
ord_365528,uid_19d66b4f,sess_uid_19d66b4f_20230628210300,2023-06-28 21:09:28,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,1,22.99,22.99,shop_pay,False,very_high,converted
ord_ca0424,uid_c5580401,sess_uid_c5580401_20230817020100,2023-08-17 02:12:14,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,42.99,shop_pay,False,very_high,converted
ord_fac4fe,uid_980af99c,sess_uid_980af99c_20231017213700,2023-10-17 21:43:25,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,1,23.99,23.99,credit_card,False,very_high,converted
ord_f89d68,uid_6eb76fff,sess_uid_6eb76fff_20230814021100,2023-08-14 02:15:17,LUM-VP-01,Full Routine Bundle (Shampoo + Conditioner + Body Wash),Value Pack,high,1,59.99,59.99,shop_pay,False,high,price_barrier
ord_9c7f78,uid_6eb76fff,sess_uid_6eb76fff_20230929061100,2023-09-29 06:16:23,LUM-BDL-03,Scalp Care Complete Duo,Bundle,mid,1,44.99,44.99,credit_card,False,very_high,converted
ord_20882a,uid_e22fd4d1,sess_uid_e22fd4d1_20230407164700,2023-04-07 16:53:32,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,1,23.99,71.97,shop_pay,False,very_high,converted
ord_4bb498,uid_5d3eeb25,sess_uid_5d3eeb25_20230721230100,2023-07-21 23:05:44,LUM-BDL-03,Scalp Care Complete Duo,Bundle,mid,2,44.99,44.99,paypal,False,high,converted
ord_7ae1e6,uid_2167f4b6,sess_uid_2167f4b6_20230511060500,2023-05-11 06:08:22,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,apple_pay,False,very_high,converted
ord_2902ce,uid_423a33e6,sess_uid_423a33e6_20231120110200,2023-11-20 11:11:39,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,39.99,apple_pay,False,very_high,converted
ord_7f905d,uid_c9f67781,sess_uid_c9f67781_20230610060700,2023-06-10 06:12:41,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,42.99,apple_pay,False,very_high,converted
ord_e8641c,uid_4366d75f,sess_uid_4366d75f_20231017164800,2023-10-17 16:55:52,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,3,24.99,24.99,apple_pay,False,high,converted
ord_90ad26,uid_810bca16,sess_uid_810bca16_20231217081100,2023-12-17 08:16:34,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,65.97,shop_pay,False,very_high,converted
ord_f10fd4,uid_729f7f0f,sess_uid_729f7f0f_20230407071300,2023-04-07 07:16:35,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,3,21.99,43.98,credit_card,False,very_high,converted
ord_ff9cec,uid_933999a8,sess_uid_933999a8_20230807123600,2023-08-07 12:43:53,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,74.97,apple_pay,False,high,converted
ord_0aad65,uid_18013c8f,sess_uid_18013c8f_20231023133000,2023-10-23 13:37:19,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,2,21.99,21.99,apple_pay,False,very_high,converted
ord_850ce7,uid_2e6e2587,sess_uid_2e6e2587_20230510102900,2023-05-10 10:36:03,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,24.99,credit_card,False,very_high,converted
ord_5f1d8b,uid_71810191,sess_uid_71810191_20231006160300,2023-10-06 16:09:33,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,43.98,paypal,False,very_high,converted
ord_c9302f,uid_d5550933,sess_uid_d5550933_20230820185400,2023-08-20 19:03:09,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,85.98,paypal,False,high,converted
ord_7d4afc,uid_953fe759,sess_uid_953fe759_20231101123300,2023-11-01 12:42:57,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,2,23.99,47.98,credit_card,False,high,converted
ord_f996cb,uid_953fe759,sess_uid_953fe759_20231125093300,2023-11-25 09:43:08,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,24.99,credit_card,False,very_high,decision_friction
ord_cd4d82,uid_8667c21a,sess_uid_8667c21a_20230924210800,2023-09-24 21:16:06,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,24.99,paypal,False,very_high,decision_friction
ord_040cae,uid_4b49c30d,sess_uid_4b49c30d_20230408191800,2023-04-08 19:22:05,LUM-SH-03,Hydra Boost Shampoo 32oz,Shampoo,mid,1,39.99,79.98,credit_card,False,very_high,converted
ord_f3f8b9,uid_c0ed7f34,sess_uid_c0ed7f34_20230827062200,2023-08-27 06:26:16,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,21.99,shop_pay,False,high,converted
ord_b2f247,uid_c0ed7f34,sess_uid_c0ed7f34_20230923072200,2023-09-23 07:29:14,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,apple_pay,False,very_high,converted
ord_2e663c,uid_1880bd7d,sess_uid_1880bd7d_20230813131100,2023-08-13 13:14:54,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,apple_pay,True,very_high,converted
ord_fb7c6b,uid_7743580a,sess_uid_7743580a_20231124221000,2023-11-24 22:18:00,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,3,21.99,43.98,apple_pay,False,very_high,converted
ord_9e6f29,uid_b13dc673,sess_uid_b13dc673_20231105005200,2023-11-05 00:56:01,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,1,42.99,42.99,credit_card,False,very_high,distraction
ord_5bf996,uid_3eb3e2b9,sess_uid_3eb3e2b9_20230814071000,2023-08-14 07:13:57,LUM-BDL-02,Shampoo + Body Wash Duo,Bundle,mid,1,39.99,39.99,credit_card,False,high,converted
ord_6270ce,uid_0877b346,sess_uid_0877b346_20230625122400,2023-06-25 12:35:27,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,24.99,shop_pay,False,high,decision_friction
ord_f0ab2a,uid_0ff07122,sess_uid_0ff07122_20230911210400,2023-09-11 21:08:08,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,1,22.99,22.99,credit_card,False,high,converted
ord_b59de2,uid_2da448bd,sess_uid_2da448bd_20230509214400,2023-05-09 21:48:02,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,3,23.99,23.99,credit_card,False,very_high,converted
ord_77f10b,uid_2da448bd,sess_uid_2da448bd_20230609044400,2023-06-09 04:52:06,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,1,21.99,65.97,paypal,False,very_high,converted
ord_b01d99,uid_27621e13,sess_uid_27621e13_20230501043300,2023-05-01 04:38:46,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,21.99,credit_card,False,very_high,converted
ord_5e0ab5,uid_27621e13,sess_uid_27621e13_20230514173300,2023-05-14 17:38:19,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,2,21.99,43.98,credit_card,False,low,converted
ord_12dd55,uid_4c68c4fc,sess_uid_4c68c4fc_20230820005700,2023-08-20 01:00:32,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,2,22.99,22.99,credit_card,False,high,price_barrier
ord_b840d9,uid_4c68c4fc,sess_uid_4c68c4fc_20231020105700,2023-10-20 11:01:35,LUM-SH-02,Scalp Restore Shampoo 12oz,Shampoo,low,3,23.99,23.99,shop_pay,False,high,converted
ord_b13778,uid_7a7c6cd5,sess_uid_7a7c6cd5_20230623222700,2023-06-23 22:32:27,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,3,21.99,21.99,credit_card,False,very_high,converted
ord_ad2215,uid_bb0fc869,sess_uid_bb0fc869_20231208234600,2023-12-08 23:50:30,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,21.99,apple_pay,False,very_high,price_barrier
ord_d64902,uid_4a016836,sess_uid_4a016836_20230430044300,2023-04-30 04:51:25,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,2,24.99,74.97,apple_pay,False,high,converted
ord_ca5f17,uid_91ed80c5,sess_uid_91ed80c5_20231115010100,2023-11-15 01:06:09,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,2,22.99,22.99,paypal,False,very_high,converted
ord_41c574,uid_6c0ce661,sess_uid_6c0ce661_20231121144400,2023-11-21 14:53:03,LUM-BW-02,Gentle Calm Body Wash 16oz,Body Wash,low,1,22.99,22.99,credit_card,False,very_high,converted
ord_84f829,uid_88ccabae,sess_uid_88ccabae_20230419120500,2023-04-19 12:08:33,LUM-CD-01,Repair & Strengthen Conditioner 12oz,Conditioner,low,1,24.99,49.98,apple_pay,False,very_high,converted
ord_6660a4,uid_b0e96a99,sess_uid_b0e96a99_20230715014400,2023-07-15 01:48:07,LUM-BDL-01,Shampoo + Conditioner Duo,Bundle,mid,2,42.99,42.99,shop_pay,False,very_high,converted
ord_5ca019,uid_5f4620cb,sess_uid_5f4620cb_20230713094600,2023-07-13 09:49:59,LUM-SH-01,Hydra Boost Shampoo 12oz,Shampoo,low,1,21.99,21.99,paypal,False,low,price_shock
ord_16db85,uid_5f4620cb,sess_uid_5f4620cb_20230819014600,2023-08-19 01:51:14,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,1,21.99,21.99,credit_card,False,high,converted
ord_053cee,uid_5bc78972,sess_uid_5bc78972_20230719143500,2023-07-19 14:42:04,LUM-BW-01,Moisture Surge Body Wash 16oz,Body Wash,low,2,21.99,21.99,shop_pay,False,high,converted
