assignment_id,user_pseudo_id,experiment_id,experiment_name,variant,assigned_at,first_exposure_at
asgn_e157d20e,uid_07d4d229,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-23 04:04:00
asgn_b9f6c9b7,uid_3671caab,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-22 17:08:00
asgn_669282b6,uid_221848b2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-15 00:43:00
asgn_973bac09,uid_9bac5d7e,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-19 18:30:00
asgn_ed5ae7ca,uid_202c6e01,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-08 17:15:00
asgn_4c6340b3,uid_949ec74b,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-27 20:17:00
asgn_f1268d33,uid_35eb670a,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-21 03:29:00
asgn_e908f255,uid_d64dc031,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-16 16:13:00
asgn_d9283d76,uid_e4ce0dce,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-14 23:02:00
asgn_3e0da942,uid_c2de025c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-16 15:20:00
asgn_f7d82e6e,uid_66467986,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-22 02:54:00
asgn_e8bc9008,uid_81b56c6b,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-09 19:56:00
asgn_7b0dfc2f,uid_192bc22f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-09 20:57:00
asgn_071aad6f,uid_1e300248,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-03 09:45:00
asgn_d846d96d,uid_8ffc74cd,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-17 13:23:00
asgn_600eb8c2,uid_d3fe2ca0,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-03 18:26:00
asgn_0ad9cf5f,uid_1f7d3eb0,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-11 03:56:00
asgn_ae069a7a,uid_01b293fa,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-03 17:46:00
asgn_70130ba8,uid_840ee741,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-18 01:05:00
asgn_29f5014e,uid_8cdb962e,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-23 15:53:00
asgn_420e7356,uid_6f2c13da,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-26 23:35:00
asgn_13cd4c60,uid_2ac6aa70,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-19 04:43:00
asgn_b41dc65a,uid_8dd4b32b,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-11 11:10:00
asgn_5e0f6f7e,uid_521966db,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-10 17:36:00
asgn_d3c7b318,uid_d0fb22db,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-07 05:50:00
asgn_396224d7,uid_3ea81025,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-23 00:03:00
asgn_b2299d05,uid_47f74cab,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-29 06:44:00
asgn_e63b3674,uid_be4c2393,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-23 16:31:00
asgn_abb1c398,uid_63f7cc2f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-23 22:48:00
asgn_b1c3564c,uid_ab71851c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-14 21:21:00
asgn_ee1658b6,uid_39152478,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-23 20:03:00
asgn_69860dac,uid_90b44b91,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-14 01:11:00
asgn_52011612,uid_ace1134c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-27 14:52:00
asgn_9d47219e,uid_f7a21774,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-30 03:04:00
asgn_f84c43a1,uid_376e1503,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-29 13:46:00
asgn_b300a44f,uid_8a40a629,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-04 22:35:00
asgn_02058fd0,uid_cec3efff,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-16 14:32:00
asgn_66eea23c,uid_a0a85b48,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-10 23:20:00
asgn_7901af67,uid_6b39a6a7,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-06 14:16:00
asgn_57a0fd9a,uid_46224f53,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-14 01:35:00
asgn_d084269b,uid_8569bc20,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-04 09:43:00
asgn_89667e3c,uid_5d4c6004,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-08 15:06:00
asgn_2a683347,uid_9e469e85,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-12 09:37:00
asgn_11b824f7,uid_16775863,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-08 00:17:00
asgn_c5cd003a,uid_79eb2f32,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-21 15:31:00
asgn_e89ea2e0,uid_7b4b995c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-26 22:15:00
asgn_562ce865,uid_359a5980,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-13 16:00:00
asgn_d468c4c6,uid_0c452a16,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-08 23:08:00
asgn_69cbaeb0,uid_ae8a8d41,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-06 23:28:00
asgn_d68bd94d,uid_70ff3c30,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-08 21:50:00
asgn_e096e2be,uid_53161d92,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-12 16:24:00
asgn_48801f26,uid_f17275b6,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-21 20:52:00
asgn_4327821c,uid_bedc2dce,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-23 06:32:00
asgn_2599dbf2,uid_52be7316,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-19 04:25:00
asgn_d7345ffe,uid_08e618bc,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-26 16:39:00
asgn_996f8861,uid_069736b3,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-23 06:41:00
asgn_37f710a8,uid_c00cf0c2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-07 07:31:00
asgn_a4678bba,uid_f18bd148,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-06 12:25:00
asgn_d9a29d83,uid_a7432533,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-15 15:23:00
asgn_b30f3929,uid_af1c0796,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-15 07:10:00
asgn_67195c17,uid_012eb2f4,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-26 07:17:00
asgn_fa72daa4,uid_966b8898,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-03 15:43:00
asgn_f05578b3,uid_01a96018,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-11 06:22:00
asgn_67d869be,uid_152c2d0a,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-13 18:38:00
asgn_0678e3ee,uid_869dfc5b,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-03 00:40:00
asgn_5495763a,uid_d22335fe,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-10 22:22:00
asgn_b5b8fd27,uid_5ab88d01,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-21 10:13:00
asgn_3ac3518b,uid_ba542ab1,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-06 23:47:00
asgn_b569675f,uid_dc88ad93,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-12 23:31:00
asgn_4140cbeb,uid_a53d1c0a,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-24 22:50:00
asgn_69a0bb92,uid_d6edd2d0,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-16 14:11:00
asgn_bb596302,uid_c9d0f3b9,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-30 10:09:00
asgn_56cdb241,uid_3768841f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-12 09:22:00
asgn_32021326,uid_2f3d2a0c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-02 06:23:00
asgn_8a66615c,uid_88aad283,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-17 16:30:00
asgn_c6dfd7cd,uid_c1facf28,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-29 16:55:00
asgn_008f2da0,uid_364af6b2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-03 07:32:00
asgn_856fc2de,uid_a6ac32d3,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-14 13:04:00
asgn_03a8f2c9,uid_f0713f38,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-19 07:09:00
asgn_9dd315ec,uid_43f56ae4,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-08 17:10:00
asgn_7d7f9936,uid_d91f9253,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-12 22:07:00
asgn_d6c1d5b1,uid_35a71872,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-05 19:50:00
asgn_d6cb756c,uid_0f357dd2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-30 13:43:00
asgn_e7f21421,uid_607281e8,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-15 22:09:00
asgn_f1972ded,uid_3728a377,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-15 05:59:00
asgn_0c6c1ef7,uid_e4c3b7e6,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-18 19:51:00
asgn_99185961,uid_aebe89ee,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-08 22:38:00
asgn_45daec4d,uid_b40276fd,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-07 01:43:00
asgn_7c455028,uid_26ff17b1,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-20 09:39:00
asgn_f8cd3902,uid_03014c3e,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-12 03:16:00
asgn_4c787ea7,uid_14a3ab95,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-11 13:41:00
asgn_c159b5f0,uid_f84d51ea,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-22 22:58:00
asgn_596d329e,uid_0de496c7,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-16 02:18:00
asgn_8611f8ff,uid_6a5d221f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-01 03:50:00
asgn_31b6b1a8,uid_61349ed2,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-11 18:12:00
asgn_76e1dc20,uid_1c72b3f9,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-20 19:26:00
asgn_57196be5,uid_581e8724,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-18 14:32:00
asgn_0a9b3fe4,uid_ae7bac22,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-13 04:44:00
asgn_43445d36,uid_b29b196e,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-11 13:22:00
asgn_eae3c911,uid_70f94e25,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-21 04:59:00
asgn_c8aa56d4,uid_aa756e6b,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-02 05:05:00
asgn_8aa2085d,uid_f7d0390e,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-08 20:44:00
asgn_b9618ef3,uid_e1b6d202,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-17 00:57:00
asgn_5d129869,uid_dc069556,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-13 17:03:00
asgn_eb5a6962,uid_9007b81c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-18 22:47:00
asgn_eb73c97d,uid_20b8be0e,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-21 10:58:00
asgn_2fc4d85d,uid_32611638,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-27 20:06:00
asgn_fd05482d,uid_26f39a2c,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-17 00:24:00
asgn_91e5b3ce,uid_721df387,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-25 20:29:00
asgn_db9e57da,uid_92eead2f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-18 23:44:00
asgn_3edd3e1c,uid_60b73abf,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-17 21:22:00
asgn_3e48b313,uid_9cb4e85d,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-08 06:40:00
asgn_42a6ca35,uid_d4167565,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-16 16:51:00
asgn_917d2214,uid_f85b58da,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-27 17:07:00
asgn_f9b6dfdc,uid_129816b5,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-09 19:51:00
asgn_e19d435a,uid_71356ac4,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-26 02:27:00
asgn_abe88dd9,uid_7e4c2a84,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-22 03:01:00
asgn_7105a651,uid_7ed01d96,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-27 20:34:00
asgn_e282d70d,uid_48964361,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-17 17:01:00
asgn_04217a47,uid_49a3bd84,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-27 18:53:00
asgn_fb6413a2,uid_4dd69cf7,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-26 20:24:00
asgn_b60a80fe,uid_e92c16bc,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-14 20:20:00
asgn_7b39363b,uid_e0b6c57f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-22 16:04:00
asgn_5fcbaa9e,uid_a67c3d62,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-30 09:50:00
asgn_4a7ff3bb,uid_d44c5ebd,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-26 08:39:00
asgn_a67c2dab,uid_b6c620e3,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-12 10:28:00
asgn_f1ebf5dc,uid_b7d36d38,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-19 08:28:00
asgn_f143b615,uid_b2d00024,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-06 18:29:00
asgn_75eaed43,uid_8dc2be6f,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-12 09:33:00
asgn_dab39ef9,uid_0eee95c1,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-31 01:21:00
asgn_66eb17a4,uid_3c873bdc,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-22 06:05:00
asgn_7e4d10e9,uid_b2ef6829,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-20 08:57:00
asgn_9b79b948,uid_44f01a50,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-01 23:46:00
asgn_f9504b6a,uid_547ed859,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-16 09:02:00
asgn_0c56a11c,uid_2ab24922,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-28 04:43:00
asgn_f6178869,uid_1600f173,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-17 05:33:00
asgn_f8484e98,uid_178780bc,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-01 06:39:00
asgn_ec47d308,uid_21a74823,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-09 18:20:00
asgn_37ce7519,uid_966f4946,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-16 04:31:00
asgn_ac73753e,uid_53400199,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-02-06 17:31:00
asgn_8a179496,uid_b854aa18,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-03-03 07:31:00
asgn_03fba831,uid_c20dc8fe,exp_luminos_pdp_v1,luminos_pdp_value_messaging_q1_2024,control,2024-01-08,2024-01-15 16:11:00
