user_pseudo_id,total_sessions,total_orders,total_revenue,avg_order_value,days_since_last_visit,avg_scroll_depth,intent_score,propensity_score,propensity_tier,will_purchase,R_score,F_score,M_score,recency_days,frequency,monetary,segment,avg_scroll,intent_mode,clv_6month,xgb_churn_prob,churn_risk_tier,clv_tier
uid_0067f4de,1,0.0,0.0,0.0,13,0.4666666666666666,4,0.8671642701587439,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4666666666666666,high,0.0,0.29521593,Low Risk,No Value
uid_0075e928,1,0.0,0.0,0.0,7,0.49666666666666665,2,0.7692577968702633,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.49666666666666665,low,0.0,0.32127032,Low Risk,No Value
uid_007b2fda,1,0.0,0.0,0.0,12,0.49666666666666665,5,0.7205493771174021,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4283333333333333,very_high,0.0,0.15582961,Low Risk,No Value
uid_008335ee,2,0.0,0.0,0.0,111,0.49,5,0.01983064905745748,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.49,very_high,0.0,0.9990214,High Risk,No Value
uid_0088bd21,2,0.0,0.0,0.0,117,0.41,2,0.001121280154421621,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.41,low,0.0,0.9992489,High Risk,No Value
uid_008c0c22,2,0.0,0.0,0.0,125,0.526,4,0.0021041861080956428,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.526,high,0.0,0.99885833,High Risk,No Value
uid_0090399b,2,0.0,0.0,0.0,18,0.47,4,0.792389859326559,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.47,high,0.0,0.9990339,High Risk,No Value
uid_00945888,2,0.0,0.0,0.0,69,0.3125,2,0.03856216898576594,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3125,low,0.0,0.9991574,High Risk,No Value
uid_009c9feb,1,0.0,0.0,0.0,67,0.42,1,0.0968832034362485,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.42,very_low,0.0,0.99880123,High Risk,No Value
uid_00a61c3a,3,0.0,0.0,0.0,59,0.47250000000000003,4,0.0813569627692592,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.47250000000000003,high,0.0,0.9987519,High Risk,No Value
uid_00aa80e7,2,1.0,23.99,23.99,26,0.662,4,0.8109555895390976,High Propensity,0,3,1,1,56.0,1,23.99,Potential Loyalist,0.662,high,2.283591003276974,0.9992055,High Risk,Low Value
uid_00bc1cec,1,0.0,0.0,0.0,58,0.5,4,0.16201412230507106,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5,high,0.0,0.9988764,High Risk,No Value
uid_00cae8a1,1,0.0,0.0,0.0,27,0.25,1,0.5058508498821758,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.25,high,0.0,0.18617511,Low Risk,No Value
uid_00cc750d,2,0.0,0.0,0.0,63,0.33,2,0.05482910516622803,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.33,low,0.0,0.99918765,High Risk,No Value
uid_00cc97f2,3,0.0,0.0,0.0,75,0.34199999999999997,2,0.040974978102240676,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.34199999999999997,low,0.0,0.99907386,High Risk,No Value
uid_00cdff80,2,0.0,0.0,0.0,18,0.53,4,0.5848287833177825,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.53,high,0.0,0.99917394,High Risk,No Value
uid_00d6969a,2,0.0,0.0,0.0,28,0.16999999999999998,5,0.3368708005262633,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.15,very_high,0.0,0.3990114,Low Risk,No Value
uid_00e0dc78,2,0.0,0.0,0.0,20,0.508,5,0.5073314737123429,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.508,very_high,0.0,0.9989361,High Risk,No Value
uid_00e2ebb1,4,0.0,0.0,0.0,32,0.46799999999999997,4,0.19746006081859502,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4875,high,0.0,0.9527119,High Risk,No Value
uid_00e855b3,1,0.0,0.0,0.0,7,0.3766666666666667,2,0.6223210630480546,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.36,low,0.0,0.17886275,Low Risk,No Value
uid_00f19167,4,0.0,0.0,0.0,56,0.344,1,0.009606605759801377,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.344,very_low,0.0,0.9989172,High Risk,No Value
uid_00f867ef,1,0.0,0.0,0.0,8,0.31666666666666665,2,0.6231374519886506,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3125,low,0.0,0.20029531,Low Risk,No Value
uid_010986c6,1,0.0,0.0,0.0,7,0.43,1,0.46672403982566457,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.43,very_low,0.0,0.17549671,Low Risk,No Value
uid_010ae650,3,0.0,0.0,0.0,66,0.35166666666666674,4,0.08775956104189984,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.35166666666666674,high,0.0,0.9989629,High Risk,No Value
uid_01122a4f,1,0.0,0.0,0.0,30,0.535,4,0.3657270635786627,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.535,high,0.0,0.99888414,High Risk,No Value
uid_0116c7ab,1,0.0,0.0,0.0,17,0.44,2,0.5744644331163593,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3175,high,0.0,0.28994808,Low Risk,No Value
uid_0125a077,2,1.0,22.99,22.99,40,0.3725,5,0.8373885696815857,High Propensity,1,4,1,3,24.0,2,44.98,New Customer,0.39999999999999997,very_high,4.858681699342855,0.39361706,Low Risk,Low Value
uid_012e10e7,4,0.0,0.0,0.0,18,0.29571428571428576,2,0.16074420764536496,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.29571428571428576,low,0.0,0.9991578,High Risk,No Value
uid_0134c96a,2,0.0,0.0,0.0,62,0.4575,4,0.06174258379875495,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4575,high,0.0,0.99918777,High Risk,No Value
uid_01387622,3,0.0,0.0,0.0,27,0.4075,5,0.20977400084680872,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.53375,very_high,0.0,0.3220297,Low Risk,No Value
uid_014779e5,2,0.0,0.0,0.0,28,0.36333333333333334,3,0.6479970295256671,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.36333333333333334,medium,0.0,0.9991762,High Risk,No Value
uid_0151a251,2,0.0,0.0,0.0,20,0.435,2,0.27460381284625524,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4025,low,0.0,0.4309759,Medium Risk,No Value
uid_015adb79,1,0.0,0.0,0.0,16,0.255,2,0.44246992654131023,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.255,low,0.0,0.9988487,High Risk,No Value
uid_015b3b53,2,0.0,0.0,0.0,69,0.346,5,0.07600049986486329,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.346,very_high,0.0,0.99912244,High Risk,No Value
uid_016fa553,1,0.0,0.0,0.0,13,0.57,4,0.5738273883215943,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.485,high,0.0,0.23280653,Low Risk,No Value
uid_018a058e,1,0.0,0.0,0.0,16,0.46,2,0.5649841538334971,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.565,high,0.0,0.20160829,Low Risk,No Value
uid_018e4d14,1,0.0,0.0,0.0,10,0.16,2,0.8010698944611725,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.48599999999999993,high,0.0,0.14623807,Low Risk,No Value
uid_01905346,1,0.0,0.0,0.0,43,0.495,4,0.2842428900380279,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.495,high,0.0,0.9989323,High Risk,No Value
uid_019df1c8,1,0.0,0.0,0.0,85,0.69,4,0.061791227405428535,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.69,high,0.0,0.9989636,High Risk,No Value
uid_01b7ca11,1,0.0,0.0,0.0,84,0.465,3,0.1601049495274494,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.465,medium,0.0,0.9988631,High Risk,No Value
uid_01c10ebd,2,0.0,0.0,0.0,67,0.6533333333333333,5,0.06004291787561661,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.6533333333333333,very_high,0.0,0.9988427,High Risk,No Value
uid_01c36823,2,0.0,0.0,0.0,39,0.4316666666666667,5,0.6280562728186317,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4316666666666667,very_high,0.0,0.99914634,High Risk,No Value
uid_01c3fb8b,1,0.0,0.0,0.0,62,0.732,4,0.2294488313029355,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.732,high,0.0,0.9987821,High Risk,No Value
uid_01d1778e,1,0.0,0.0,0.0,152,0.475,2,0.001986552041194995,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.475,low,0.0,0.99876356,High Risk,No Value
uid_01e2400e,2,1.0,89.98,89.98,27,0.5416666666666666,5,0.732957523101049,High Propensity,0,2,1,4,89.0,1,89.98,Hibernating (High Value),0.5416666666666666,very_high,7.003943218164621,0.99881387,High Risk,Low Value
uid_01e8ef90,1,0.0,0.0,0.0,51,0.5925,5,0.4365496442062656,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5925,very_high,0.0,0.9988262,High Risk,No Value
uid_01fbba33,1,0.0,0.0,0.0,28,0.3333333333333333,1,0.32888830959074467,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3333333333333333,very_low,0.0,0.99873775,High Risk,No Value
uid_020c76f8,1,0.0,0.0,0.0,106,0.5499999999999999,3,0.01821608884228524,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5499999999999999,medium,0.0,0.9986394,High Risk,No Value
uid_02121f3a,2,0.0,0.0,0.0,1,0.36999999999999994,4,0.7489439873877151,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.36999999999999994,high,0.0,0.30229613,Low Risk,No Value
uid_021221d6,1,0.0,0.0,0.0,11,0.4200000000000001,5,0.74480698001736,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.41750000000000004,very_high,0.0,0.19285887,Low Risk,No Value
uid_021adf46,3,0.0,0.0,0.0,25,0.44400000000000006,2,0.05987936161910749,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.44400000000000006,low,0.0,0.99912995,High Risk,No Value
uid_0221377e,1,0.0,0.0,0.0,72,0.59,2,0.117676153891405,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.59,low,0.0,0.9985399,High Risk,No Value
uid_0224c3f7,2,0.0,0.0,0.0,87,0.475,2,0.018734221998572317,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.475,low,0.0,0.9988387,High Risk,No Value
uid_0231f5b6,2,0.0,0.0,0.0,22,0.49250000000000005,4,0.5330446508167747,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4720000000000001,high,0.0,0.3965976,Low Risk,No Value
uid_0239837e,1,0.0,0.0,0.0,6,0.49333333333333335,5,0.885746026765367,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4225,very_high,0.0,0.19752575,Low Risk,No Value
uid_023ea9de,1,0.0,0.0,0.0,31,0.27,4,0.4090569504478187,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3666666666666667,high,0.0,0.2574085,Low Risk,No Value
uid_024063dc,1,0.0,0.0,0.0,10,0.22333333333333336,5,0.7216259818295102,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.2,very_high,0.0,0.29881212,Low Risk,No Value
uid_02438f93,1,0.0,0.0,0.0,26,0.3466666666666667,4,0.6576430103424622,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.41000000000000003,high,0.0,0.22023076,Low Risk,No Value
uid_02473220,1,0.0,0.0,0.0,21,0.3,4,0.6186616965906957,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3,high,0.0,0.99898237,High Risk,No Value
uid_02486fea,4,0.0,0.0,0.0,25,0.33499999999999996,2,0.12089231135855691,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.33499999999999996,low,0.0,0.9991424,High Risk,No Value
uid_024c207e,3,0.0,0.0,0.0,2,0.438,5,0.49117973424216416,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.38833333333333336,low,0.0,0.4075716,Medium Risk,No Value
uid_024e90b5,1,0.0,0.0,0.0,0,0.54,5,0.801655625008297,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.54,very_high,0.0,0.22130074,Low Risk,No Value
uid_025119c0,1,0.0,0.0,0.0,99,0.5,4,0.032166195507175796,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5,high,0.0,0.9987784,High Risk,No Value
uid_0254d172,1,0.0,0.0,0.0,3,0.525,4,0.8239523268110269,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4425,high,0.0,0.21194153,Low Risk,No Value
uid_0257aa85,2,0.0,0.0,0.0,37,0.5800000000000001,5,0.6302581159377808,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.50625,very_high,0.0,0.67193794,Medium Risk,No Value
uid_025b6d89,1,0.0,0.0,0.0,0,0.52,4,0.8405287777041694,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5366666666666666,high,0.0,0.26354566,Low Risk,No Value
uid_0260ca6d,2,0.0,0.0,0.0,6,0.42000000000000004,4,0.6998154194793809,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.358,low,0.0,0.32812008,Low Risk,No Value
uid_026fc1ea,1,0.0,0.0,0.0,20,0.62,5,0.7857731708449908,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5533333333333333,very_high,0.0,0.13786499,Low Risk,No Value
uid_027e553a,2,1.0,21.99,21.99,87,0.4957142857142857,4,0.09695826952812563,Low Propensity,0,1,1,1,117.0,1,21.99,Hibernating,0.4957142857142857,high,1.484031415499833,0.9990382,High Risk,Low Value
uid_0286139e,1,0.0,0.0,0.0,45,0.5,5,0.5062987717865153,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.5,very_high,0.0,0.9988243,High Risk,No Value
uid_02863690,1,0.0,0.0,0.0,7,0.33999999999999997,3,0.8474786847964147,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.27999999999999997,very_high,0.0,0.2027276,Low Risk,No Value
uid_028708e0,2,0.0,0.0,0.0,91,0.2833333333333334,1,0.011865672406304296,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.2833333333333334,very_low,0.0,0.99900097,High Risk,No Value
uid_02900348,3,0.0,0.0,0.0,91,0.535,4,0.01046711130473482,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.535,high,0.0,0.99885476,High Risk,No Value
uid_02938839,4,0.0,0.0,0.0,22,0.385,2,0.11947867326027159,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.37000000000000005,low,0.0,0.9418237,High Risk,No Value
uid_029392ae,4,0.0,0.0,0.0,78,0.31428571428571433,2,0.010089229393415822,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.31428571428571433,low,0.0,0.99902296,High Risk,No Value
uid_02a914ea,1,0.0,0.0,0.0,144,0.23,2,0.0020958463055221624,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.23,low,0.0,0.999,High Risk,No Value
uid_02b57c41,1,0.0,0.0,0.0,18,0.495,2,0.5452980215985566,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.495,low,0.0,0.99881685,High Risk,No Value
uid_02b641b2,2,0.0,0.0,0.0,39,0.3633333333333333,4,0.27697125199376205,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3633333333333333,high,0.0,0.99908566,High Risk,No Value
uid_02ba3074,3,0.0,0.0,0.0,118,0.4133333333333333,2,0.00037282913007039833,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4133333333333333,low,0.0,0.99923444,High Risk,No Value
uid_02bf2705,3,0.0,0.0,0.0,55,0.3525,4,0.04026948901146892,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3525,high,0.0,0.999067,High Risk,No Value
uid_02cc8864,1,0.0,0.0,0.0,101,0.395,5,0.058355329615999395,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.395,very_high,0.0,0.99885297,High Risk,No Value
uid_02d9950d,1,0.0,0.0,0.0,145,0.54,2,0.0005284168923938799,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.54,low,0.0,0.9989831,High Risk,No Value
uid_02e26888,2,0.0,0.0,0.0,3,0.51,2,0.7742285351138933,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.51,low,0.0,0.4449362,Medium Risk,No Value
uid_02ecd4c9,1,0.0,0.0,0.0,11,0.49,2,0.6383480335608768,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.49,low,0.0,0.28250486,Low Risk,No Value
uid_02ef73bc,1,0.0,0.0,0.0,88,0.315,3,0.07518805726847869,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.315,medium,0.0,0.99903655,High Risk,No Value
uid_02f06a7c,1,0.0,0.0,0.0,3,0.39,2,0.7466905530501889,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.255,high,0.0,0.26146662,Low Risk,No Value
uid_02f5b5cc,1,0.0,0.0,0.0,92,0.36,2,0.043158682643702546,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.36,low,0.0,0.99889636,High Risk,No Value
uid_02f77ffb,1,1.0,23.99,23.99,81,0.31,5,0.5858288731043158,Medium Propensity,0,2,1,1,111.0,1,23.99,Hibernating,0.31,very_high,1.6663927029652454,0.9987998,High Risk,Low Value
uid_030142cc,4,0.0,0.0,0.0,39,0.40714285714285714,4,0.12277705850649741,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.40714285714285714,high,0.0,0.9992524,High Risk,No Value
uid_030cfa42,2,0.0,0.0,0.0,117,0.41250000000000003,4,0.034330247140191845,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.41250000000000003,high,0.0,0.999268,High Risk,No Value
uid_030ea0ce,1,0.0,0.0,0.0,17,0.5900000000000001,5,0.6802445947106217,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.50375,very_high,0.0,0.2612141,Low Risk,No Value
uid_031e52d9,5,1.0,49.98,49.98,52,0.4681818181818182,5,0.12218110849140935,Low Propensity,0,1,1,3,126.0,1,49.98,Hibernating (High Value),0.4681818181818182,very_high,3.2351529900706275,0.9994961,High Risk,Low Value
uid_03201b4c,1,0.0,0.0,0.0,112,0.4533333333333333,5,0.13542948865549673,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.4533333333333333,very_high,0.0,0.99897015,High Risk,No Value
uid_03352e0c,2,0.0,0.0,0.0,71,0.47,3,0.06919656592007802,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.47,medium,0.0,0.99896514,High Risk,No Value
uid_03392e4f,2,0.0,0.0,0.0,46,0.505,4,0.15232212420815716,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.505,high,0.0,0.9990207,High Risk,No Value
uid_033c650b,1,0.0,0.0,0.0,65,0.13,2,0.03491346331376853,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.13,low,0.0,0.99899524,High Risk,No Value
uid_03464e02,1,0.0,0.0,0.0,27,0.53,1,0.6241794582272424,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.48600000000000004,very_high,0.0,0.23233491,Low Risk,No Value
uid_034d7ce4,2,0.0,0.0,0.0,20,0.248,4,0.5917615868303953,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3125,high,0.0,0.29855397,Low Risk,No Value
uid_0357fc9c,2,0.0,0.0,0.0,27,0.35666666666666663,2,0.2721598920972916,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.35666666666666663,low,0.0,0.99913436,High Risk,No Value
uid_03582418,3,0.0,0.0,0.0,44,0.48,2,0.06407499966771987,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.48,low,0.0,0.9989881,High Risk,No Value
uid_035cdae8,1,0.0,0.0,0.0,14,0.20666666666666667,2,0.5719639438982047,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.27,low,0.0,0.2310301,Low Risk,No Value
uid_036117b5,1,0.0,0.0,0.0,21,0.26,2,0.6723043555507681,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.28500000000000003,low,0.0,0.22670859,Low Risk,No Value
uid_03733d00,1,0.0,0.0,0.0,10,0.47,2,0.6382199603754862,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.37333333333333335,low,0.0,0.23648001,Low Risk,No Value
uid_038a37fc,2,0.0,0.0,0.0,117,0.385,5,0.0068299376077985965,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.385,very_high,0.0,0.9991798,High Risk,No Value
uid_0394471e,2,0.0,0.0,0.0,87,0.526,5,0.0400665638881957,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.526,very_high,0.0,0.9991708,High Risk,No Value
uid_039580bb,1,0.0,0.0,0.0,135,0.3,2,0.0029279454415801994,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.3,low,0.0,0.9987846,High Risk,No Value
uid_039e7f3c,1,0.0,0.0,0.0,128,0.44,5,0.013777978087367587,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.44,very_high,0.0,0.9990189,High Risk,No Value
uid_03a3469e,1,0.0,0.0,0.0,6,0.21999999999999997,4,0.781498783459172,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.21999999999999997,high,0.0,0.22777209,Low Risk,No Value
uid_03ac3795,1,0.0,0.0,0.0,20,0.33,2,0.24102771245108817,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.33,low,0.0,0.999047,High Risk,No Value
uid_03aca657,1,1.0,43.98,43.98,10,0.5066666666666667,5,0.9700255837186682,High Propensity,0,3,1,2,40.0,1,43.98,Potential Loyalist,0.5085714285714286,very_high,4.699582515543554,0.20164436,Low Risk,Low Value
uid_03acc73f,5,0.0,0.0,0.0,20,0.399,2,0.0963654149474486,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.399,low,0.0,0.9994473,High Risk,No Value
uid_03ae74b8,1,0.0,0.0,0.0,20,0.11,1,0.6272038904050831,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.11,very_low,0.0,0.9989988,High Risk,No Value
uid_03b072e6,1,0.0,0.0,0.0,23,0.22,4,0.7007941051373769,High Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.365,high,0.0,0.21974692,Low Risk,No Value
uid_03b8207d,5,0.0,0.0,0.0,52,0.35571428571428576,2,0.019967724180878655,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.35571428571428576,low,0.0,0.99960285,High Risk,No Value
uid_03b86416,2,0.0,0.0,0.0,70,0.296,5,0.10445766733584362,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.296,very_high,0.0,0.99921644,High Risk,No Value
uid_03be8b7b,1,0.0,0.0,0.0,128,0.38000000000000006,5,0.004573226156589366,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.38000000000000006,very_high,0.0,0.99887294,High Risk,No Value
uid_03caf2cd,1,0.0,0.0,0.0,143,0.13,2,0.0038456262594493136,Low Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.13,low,0.0,0.99895275,High Risk,No Value
uid_03d3084a,3,0.0,0.0,0.0,11,0.27999999999999997,2,0.40964969678818636,Medium Propensity,0,1,1,1,999.0,0,0.0,Lost / Non-Buyer,0.34714285714285714,low,0.0,0.46387193,Medium Risk,No Value
