session_id,user_pseudo_id,session_start,session_end,device_category,traffic_source,traffic_medium,item_id,product_category,price_tier,item_price,intent_level,dropoff_reason,category_viewed,order_id,order_revenue,page_view,view_item_list,view_item,add_to_cart,begin_checkout,purchase,avg_scroll_depth,reached_home,reached_plp,reached_pdp,reached_atc,reached_checkout,purchased,pdp_view_count,session_duration_sec,variant,is_returned,payment_method
sess_uid_005bf183_20240322091800,uid_005bf183,2024-03-22 09:18:16,2024-03-22 09:24:54,mobile,referral,referral,LUM-BW-01,Body Wash,low,21.99,high,converted,Body Wash,,0.0,1,1,2,1,0,0,0.8300000000000001,True,True,True,True,False,False,2,398.0,treatment,,
sess_uid_006aeb06_20240316044100,uid_006aeb06,2024-03-16 04:41:16,2024-03-16 04:41:16,mobile,instagram,paid_social,LUM-BW-01,Body Wash,low,21.99,low,price_shock,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_006aeb06_20240406194100,uid_006aeb06,2024-04-06 19:41:02,2024-04-06 19:41:15,desktop,email,email,LUM-BDL-01,Bundle,mid,42.99,very_high,converted,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,13.0,control,,
sess_uid_007124bb_20240317120700,uid_007124bb,2024-03-17 12:07:15,2024-03-17 12:07:29,mobile,google,cpc,LUM-BDL-02,Bundle,mid,39.99,high,converted,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,14.0,control,,
sess_uid_0071b7d1_20240223034700,uid_0071b7d1,2024-02-23 03:47:14,2024-02-23 03:48:42,mobile,email,email,LUM-BW-02,Body Wash,low,22.99,very_high,price_barrier,Body Wash,,0.0,1,1,1,0,0,0,0.13,True,True,True,False,False,False,1,88.0,control,,
sess_uid_00776ab0_20240127042800,uid_00776ab0,2024-01-27 04:28:03,2024-01-27 04:28:30,desktop,email,email,LUM-BDL-03,Bundle,mid,44.99,very_high,price_barrier,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,27.0,treatment,,
sess_uid_00776ab0_20240215032800,uid_00776ab0,2024-02-15 03:28:19,2024-02-15 03:28:19,desktop,instagram,paid_social,LUM-CD-01,Conditioner,low,24.99,low,impulse_faded,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_00776ab0_20240222152800,uid_00776ab0,2024-02-22 15:28:13,2024-02-22 15:29:26,desktop,referral,referral,LUM-VP-01,Value Pack,high,59.99,medium,price_barrier,Value Pack,,0.0,1,1,1,0,0,0,0.12,True,True,True,False,False,False,1,73.0,treatment,,
sess_uid_007bd8c3_20240314134100,uid_007bd8c3,2024-03-14 13:41:16,2024-03-14 13:42:04,desktop,email,email,LUM-SH-01,Shampoo,low,21.99,very_high,price_barrier,Shampoo,,0.0,1,1,1,0,0,0,0.17,True,True,True,False,False,False,1,48.0,control,,
sess_uid_007bd8c3_20240323214100,uid_007bd8c3,2024-03-23 21:41:06,2024-03-23 21:42:28,desktop,email,email,LUM-SH-01,Shampoo,low,21.99,very_high,price_barrier,Shampoo,,0.0,1,1,1,0,0,0,0.26,True,True,True,False,False,False,1,82.0,control,,
sess_uid_007bd8c3_20240403214100,uid_007bd8c3,2024-04-03 21:41:19,2024-04-03 21:45:28,desktop,email,email,LUM-CD-01,Conditioner,low,24.99,very_high,converted,Conditioner,,0.0,1,1,1,1,1,0,0.67,True,True,True,True,True,False,1,249.0,control,,
sess_uid_007c94f8_20240315112400,uid_007c94f8,2024-03-15 11:24:05,2024-03-15 11:24:42,tablet,instagram,paid_social,LUM-BDL-02,Bundle,mid,39.99,low,impulse_faded,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,37.0,treatment,,
sess_uid_007d20b9_20240111062700,uid_007d20b9,2024-01-11 06:27:05,2024-01-11 06:27:05,tablet,instagram,paid_social,LUM-BDL-02,Bundle,mid,39.99,low,converted,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_007d20b9_20240204042700,uid_007d20b9,2024-02-04 04:27:05,2024-02-04 04:27:05,mobile,instagram,paid_social,LUM-VP-01,Value Pack,high,59.99,very_low,price_shock,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_007d20b9_20240227162700,uid_007d20b9,2024-02-27 16:27:09,2024-02-27 16:27:24,tablet,instagram,paid_social,LUM-BDL-03,Bundle,mid,44.99,low,price_shock,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,15.0,control,,
sess_uid_007d6d5f_20240323034000,uid_007d6d5f,2024-03-23 03:40:06,2024-03-23 03:40:47,mobile,instagram,paid_social,LUM-BW-02,Body Wash,low,22.99,low,price_shock,Body Wash,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,41.0,treatment,,
sess_uid_0081303f_20240109201200,uid_0081303f,2024-01-09 20:12:14,2024-01-09 20:12:14,mobile,google,cpc,LUM-BW-02,Body Wash,low,22.99,high,converted,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_0084622e_20240117092900,uid_0084622e,2024-01-17 09:29:11,2024-01-17 09:33:10,mobile,email,email,LUM-SH-03,Shampoo,mid,39.99,very_high,decision_friction,Shampoo,,0.0,1,1,2,0,0,0,0.9,True,True,True,False,False,False,2,239.0,control,,
sess_uid_008b5a91_20240228122400,uid_008b5a91,2024-02-28 12:24:10,2024-02-28 12:24:58,desktop,tiktok,paid_social,LUM-BW-01,Body Wash,low,21.99,low,distraction,Body Wash,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,48.0,control,,
sess_uid_008b5a91_20240322132400,uid_008b5a91,2024-03-22 13:24:11,2024-03-22 13:28:48,desktop,direct,none,LUM-VP-01,Value Pack,high,59.99,high,converted,Value Pack,ord_34b547,59.99,1,1,1,1,1,1,0.65,True,True,True,True,True,True,1,277.0,control,False,paypal
sess_uid_008dde87_20240204001600,uid_008dde87,2024-02-04 00:16:11,2024-02-04 00:16:33,mobile,email,email,LUM-VP-02,Value Pack,high,64.99,medium,comparison_intent,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,22.0,control,,
sess_uid_008dde87_20240303231600,uid_008dde87,2024-03-03 23:16:15,2024-03-03 23:16:15,mobile,direct,none,LUM-SH-01,Shampoo,low,21.99,very_high,out_of_stock,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_009e155d_20240131080800,uid_009e155d,2024-01-31 08:08:12,2024-01-31 08:08:28,mobile,instagram,paid_social,LUM-CD-01,Conditioner,low,24.99,low,wrong_audience,Conditioner,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,16.0,treatment,,
sess_uid_009e155d_20240301150800,uid_009e155d,2024-03-01 15:08:05,2024-03-01 15:08:05,mobile,instagram,paid_social,LUM-VP-02,Value Pack,high,64.99,very_low,impulse_faded,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_00a02b14_20240310104900,uid_00a02b14,2024-03-10 10:49:18,2024-03-10 10:49:30,desktop,tiktok,paid_social,LUM-BDL-03,Bundle,mid,44.99,low,price_shock,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,12.0,treatment,,
sess_uid_00aba529_20240211083700,uid_00aba529,2024-02-11 08:37:11,2024-02-11 08:38:07,desktop,google,cpc,LUM-BDL-03,Bundle,mid,44.99,high,decision_friction,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,56.0,treatment,,
sess_uid_00b1f2c5_20240117203200,uid_00b1f2c5,2024-01-17 20:32:09,2024-01-17 20:32:59,mobile,email,email,LUM-VP-03,Value Pack,high,54.99,medium,ad_pdp_mismatch,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,50.0,treatment,,
sess_uid_00b1f2c5_20240206173200,uid_00b1f2c5,2024-02-06 17:32:19,2024-02-06 17:32:30,tablet,email,email,LUM-VP-01,Value Pack,high,59.99,high,converted,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,11.0,treatment,,
sess_uid_00b1f2c5_20240217113200,uid_00b1f2c5,2024-02-17 11:32:07,2024-02-17 11:36:44,tablet,referral,referral,LUM-BW-02,Body Wash,low,22.99,high,comparison_intent,Body Wash,ord_14c5ae,45.98,1,1,1,1,1,1,0.63,True,True,True,True,True,True,1,277.0,treatment,False,shop_pay
sess_uid_00b77f79_20240320070900,uid_00b77f79,2024-03-20 07:09:02,2024-03-20 07:09:02,desktop,tiktok,paid_social,LUM-BDL-01,Bundle,mid,42.99,low,price_shock,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_00b77f79_20240405220900,uid_00b77f79,2024-04-05 22:09:16,2024-04-05 22:09:16,desktop,tiktok,paid_social,LUM-BW-02,Body Wash,low,22.99,low,wrong_audience,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_00c2b600_20240220181400,uid_00c2b600,2024-02-20 18:14:05,2024-02-20 18:14:05,mobile,google,cpc,LUM-BDL-02,Bundle,mid,39.99,high,converted,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_00c2b600_20240312161400,uid_00c2b600,2024-03-12 16:14:03,2024-03-12 16:14:33,mobile,instagram,paid_social,LUM-SH-01,Shampoo,low,21.99,low,wrong_audience,Shampoo,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,30.0,control,,
sess_uid_00ca0b89_20240205220700,uid_00ca0b89,2024-02-05 22:07:19,2024-02-05 22:07:19,desktop,google,cpc,LUM-BDL-02,Bundle,mid,39.99,high,comparison_intent,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_00ca0b89_20240303060700,uid_00ca0b89,2024-03-03 06:07:18,2024-03-03 06:07:48,mobile,google,cpc,LUM-VP-02,Value Pack,high,64.99,low,impulse_faded,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,30.0,control,,
sess_uid_00ca0b89_20240331200700,uid_00ca0b89,2024-03-31 20:07:05,2024-03-31 20:07:05,mobile,google,cpc,LUM-BDL-01,Bundle,mid,42.99,high,converted,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_00cd4154_20240113210000,uid_00cd4154,2024-01-13 21:00:07,2024-01-13 21:01:00,mobile,instagram,paid_social,LUM-BDL-01,Bundle,mid,42.99,low,price_shock,Bundle,,0.0,1,1,1,0,0,0,0.15,True,True,True,False,False,False,1,53.0,control,,
sess_uid_00cd4154_20240125150000,uid_00cd4154,2024-01-25 15:00:10,2024-01-25 15:01:01,mobile,google,cpc,LUM-VP-03,Value Pack,high,54.99,low,impulse_faded,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,51.0,control,,
sess_uid_00e39b9a_20240124221700,uid_00e39b9a,2024-01-24 22:17:04,2024-01-24 22:17:41,desktop,tiktok,paid_social,LUM-VP-03,Value Pack,high,54.99,very_low,wrong_audience,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,37.0,treatment,,
sess_uid_00e39b9a_20240204081700,uid_00e39b9a,2024-02-04 08:17:06,2024-02-04 08:17:57,mobile,tiktok,paid_social,LUM-VP-03,Value Pack,high,54.99,very_low,wrong_audience,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,51.0,treatment,,
sess_uid_00e39b9a_20240303161700,uid_00e39b9a,2024-03-03 16:17:12,2024-03-03 16:19:04,mobile,tiktok,paid_social,LUM-BDL-01,Bundle,mid,42.99,low,price_shock,Bundle,,0.0,1,1,1,0,0,0,0.16,True,True,True,False,False,False,1,112.0,treatment,,
sess_uid_00e39b9a_20240310181700,uid_00e39b9a,2024-03-10 18:17:20,2024-03-10 18:18:18,desktop,google,cpc,LUM-BW-01,Body Wash,low,21.99,high,decision_friction,Body Wash,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,58.0,treatment,,
sess_uid_00f3b35b_20240216091500,uid_00f3b35b,2024-02-16 09:15:10,2024-02-16 09:15:10,mobile,email,email,LUM-BDL-02,Bundle,mid,39.99,very_high,price_barrier,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_00f3b35b_20240225101500,uid_00f3b35b,2024-02-25 10:15:15,2024-02-25 10:15:27,mobile,instagram,paid_social,LUM-BDL-03,Bundle,mid,44.99,low,price_shock,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,12.0,control,,
sess_uid_00f6070f_20240323213600,uid_00f6070f,2024-03-23 21:36:11,2024-03-23 21:36:57,desktop,google,cpc,LUM-CD-01,Conditioner,low,24.99,high,decision_friction,Conditioner,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,46.0,control,,
sess_uid_0101893d_20240322012800,uid_0101893d,2024-03-22 01:28:13,2024-03-22 01:28:30,mobile,google,cpc,LUM-BW-02,Body Wash,low,22.99,high,comparison_intent,Body Wash,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,17.0,treatment,,
sess_uid_0101d1b4_20240213194700,uid_0101d1b4,2024-02-13 19:47:16,2024-02-13 19:47:36,tablet,referral,referral,LUM-VP-01,Value Pack,high,59.99,medium,comparison_intent,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,20.0,control,,
sess_uid_0101d1b4_20240309004700,uid_0101d1b4,2024-03-09 00:47:14,2024-03-09 00:48:08,tablet,referral,referral,LUM-BDL-01,Bundle,mid,42.99,high,converted,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,54.0,control,,
sess_uid_0101d1b4_20240406194700,uid_0101d1b4,2024-04-06 19:47:06,2024-04-06 19:48:26,desktop,referral,referral,LUM-BW-02,Body Wash,low,22.99,high,price_barrier,Body Wash,,0.0,1,1,1,0,0,0,0.13,True,True,True,False,False,False,1,80.0,control,,
sess_uid_011232e8_20240324123000,uid_011232e8,2024-03-24 12:30:17,2024-03-24 12:30:36,mobile,email,email,LUM-VP-01,Value Pack,high,59.99,medium,comparison_intent,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,19.0,control,,
sess_uid_01140d65_20240121004900,uid_01140d65,2024-01-21 00:49:15,2024-01-21 00:49:15,mobile,instagram,paid_social,LUM-CD-01,Conditioner,low,24.99,low,price_shock,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_01140d65_20240219094900,uid_01140d65,2024-02-19 09:49:04,2024-02-19 09:49:04,mobile,google,cpc,LUM-BW-01,Body Wash,low,21.99,high,decision_friction,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_011f42a5_20240120020900,uid_011f42a5,2024-01-20 02:09:17,2024-01-20 02:09:17,mobile,instagram,paid_social,LUM-BW-01,Body Wash,low,21.99,low,price_shock,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_011f42a5_20240218190900,uid_011f42a5,2024-02-18 19:09:01,2024-02-18 19:09:01,mobile,instagram,paid_social,LUM-BDL-02,Bundle,mid,39.99,low,impulse_faded,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_011f42a5_20240304050900,uid_011f42a5,2024-03-04 05:09:04,2024-03-04 05:10:02,mobile,email,email,LUM-BDL-03,Bundle,mid,44.99,very_high,decision_friction,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,58.0,treatment,,
sess_uid_011f42a5_20240316000900,uid_011f42a5,2024-03-16 00:09:13,2024-03-16 00:16:15,mobile,email,email,LUM-CD-01,Conditioner,low,24.99,very_high,converted,Conditioner,,0.0,1,1,3,0,0,0,0.7866666666666666,True,True,True,False,False,False,3,422.0,treatment,,
sess_uid_0127c796_20240115222900,uid_0127c796,2024-01-15 22:29:18,2024-01-15 22:35:47,mobile,email,email,LUM-BDL-02,Bundle,mid,39.99,very_high,decision_friction,Bundle,,0.0,1,1,3,0,0,0,0.7566666666666667,True,True,True,False,False,False,3,389.0,treatment,,
sess_uid_01280c0c_20240313083000,uid_01280c0c,2024-03-13 08:30:05,2024-03-13 08:30:05,mobile,email,email,LUM-BW-01,Body Wash,low,21.99,very_high,price_barrier,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,control,,
sess_uid_012eb2f4_20240126071700,uid_012eb2f4,2024-01-26 07:17:17,2024-01-26 07:22:10,mobile,referral,referral,LUM-BW-02,Body Wash,low,22.99,high,comparison_intent,Body Wash,,0.0,1,1,2,0,0,0,0.585,True,True,True,False,False,False,2,293.0,control,,
sess_uid_01352920_20240311123200,uid_01352920,2024-03-11 12:32:04,2024-03-11 12:32:25,mobile,tiktok,paid_social,LUM-VP-03,Value Pack,high,54.99,very_low,wrong_audience,Value Pack,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,21.0,control,,
sess_uid_0138b263_20240305223700,uid_0138b263,2024-03-05 22:37:15,2024-03-05 22:37:15,desktop,instagram,paid_social,LUM-BDL-01,Bundle,mid,42.99,low,distraction,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_0138b263_20240322143700,uid_0138b263,2024-03-22 14:37:12,2024-03-22 14:38:08,desktop,instagram,paid_social,LUM-CD-01,Conditioner,low,24.99,low,wrong_audience,Conditioner,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,56.0,treatment,,
sess_uid_01463429_20240305185600,uid_01463429,2024-03-05 18:56:01,2024-03-05 19:02:38,desktop,referral,referral,LUM-BW-02,Body Wash,low,22.99,high,converted,Body Wash,ord_d24334,45.98,1,1,1,1,1,1,0.93,True,True,True,True,True,True,1,397.0,treatment,False,paypal
sess_uid_01463429_20240325105600,uid_01463429,2024-03-25 10:56:16,2024-03-25 11:06:29,desktop,tiktok,paid_social,LUM-SH-01,Shampoo,low,21.99,low,converted,Shampoo,ord_e99639,43.98,1,1,3,1,1,1,0.8433333333333334,True,True,True,True,True,True,3,613.0,treatment,False,shop_pay
sess_uid_0149e87f_20240110185600,uid_0149e87f,2024-01-10 18:56:14,2024-01-10 18:56:56,mobile,google,cpc,LUM-BDL-02,Bundle,mid,39.99,high,decision_friction,Bundle,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,42.0,control,,
sess_uid_0149e87f_20240204135600,uid_0149e87f,2024-02-04 13:56:18,2024-02-04 13:57:58,desktop,google,cpc,LUM-CD-01,Conditioner,low,24.99,high,price_barrier,Conditioner,,0.0,1,1,1,0,0,0,0.25,True,True,True,False,False,False,1,100.0,control,,
sess_uid_015dde99_20240130125600,uid_015dde99,2024-01-30 12:56:13,2024-01-30 12:56:13,mobile,instagram,paid_social,LUM-BDL-03,Bundle,mid,44.99,low,impulse_faded,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_015dde99_20240208155600,uid_015dde99,2024-02-08 15:56:06,2024-02-08 15:56:06,mobile,instagram,paid_social,LUM-BW-02,Body Wash,low,22.99,low,distraction,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_0169ce8f_20240126155300,uid_0169ce8f,2024-01-26 15:53:04,2024-01-26 15:54:45,mobile,email,email,LUM-BW-02,Body Wash,low,22.99,very_high,price_barrier,Body Wash,,0.0,1,1,1,0,0,0,0.2,True,True,True,False,False,False,1,101.0,treatment,,
sess_uid_0169ce8f_20240218125300,uid_0169ce8f,2024-02-18 12:53:16,2024-02-18 12:54:13,mobile,google,cpc,LUM-SH-03,Shampoo,mid,39.99,high,converted,Shampoo,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,57.0,treatment,,
sess_uid_016ce491_20240314150200,uid_016ce491,2024-03-14 15:02:14,2024-03-14 15:02:14,mobile,google,cpc,LUM-BDL-02,Bundle,mid,39.99,high,price_barrier,,,0.0,1,0,0,0,0,0,,True,False,False,False,False,False,0,0.0,treatment,,
sess_uid_016ce491_20240325000200,uid_016ce491,2024-03-25 00:02:08,2024-03-25 00:02:29,mobile,instagram,paid_social,LUM-BW-01,Body Wash,low,21.99,low,impulse_faded,Body Wash,,0.0,1,1,0,0,0,0,,True,True,False,False,False,False,0,21.0,treatment,,
sess_uid_016d0f61_20240123153400,uid_016d0f61,2024-01-23 15:34:11,2024-01-23 15:40:13,desktop,email,email,LUM-BDL-01,Bundle,mid,42.99,very_high,decision_friction,Bundle,,0.0,1,1,3,0,0,0,0.8566666666666666,True,True,True,False,False,False,3,362.0,treatment,,
