week_end_date,week_index,market,region,channel,brand,dollar_sales,unit_sales,regular_price,effective_price,on_promo,pct_sales_on_promo,total_dollar_sales,total_unit_sales,dollar_share,unit_share,acv_distribution,velocity
2023-01-07,0,Chicago,Midwest,Mass,Dove,4516.11,619.49,7.29,7.29,False,0.0,18636.87,3371.63,0.2423,0.1837,0.931,48.5082
2023-01-07,0,Chicago,Midwest,Mass,Suave,4457.2,1068.55,4.99,4.1712,True,0.6563,18636.87,3371.63,0.2392,0.3169,0.9108,48.9372
2023-01-07,0,Chicago,Midwest,Mass,Pantene,5328.25,757.99,7.99,7.0294,True,0.6011,18636.87,3371.63,0.2859,0.2248,0.8756,60.8526
2023-01-07,0,Chicago,Midwest,Mass,Private Label,1944.95,557.29,3.49,3.49,False,0.0,18636.87,3371.63,0.1044,0.1653,0.8478,22.9411
2023-01-07,0,Chicago,Midwest,Drug,Luminos,974.79,150.2,6.49,6.49,False,0.0,6632.05,1169.37,0.147,0.1284,0.5869,16.6091
2023-01-07,0,Chicago,Midwest,Drug,Dove,1850.2,253.8,7.29,7.29,False,0.0,6632.05,1169.37,0.279,0.217,0.9539,19.3962
2023-01-07,0,Chicago,Midwest,Drug,Suave,1281.19,256.75,4.99,4.99,False,0.0,6632.05,1169.37,0.1932,0.2196,0.9002,14.2323
2023-01-07,0,Chicago,Midwest,Drug,Pantene,1571.25,196.65,7.99,7.99,False,0.0,6632.05,1169.37,0.2369,0.1682,0.9046,17.3696
2023-01-07,0,Chicago,Midwest,Drug,Private Label,954.62,311.97,3.49,3.06,True,0.8214,6632.05,1169.37,0.1439,0.2668,0.8432,11.3214
2023-01-07,0,Houston,South,Food,Luminos,1619.67,249.56,6.49,6.49,False,0.0,10772.27,1809.16,0.1504,0.1379,0.7233,22.3928
2023-01-07,0,Houston,South,Food,Dove,3189.36,437.5,7.29,7.29,False,0.0,10772.27,1809.16,0.2961,0.2418,0.9623,33.1431
2023-01-07,0,Houston,South,Food,Suave,1925.14,385.8,4.99,4.99,False,0.0,10772.27,1809.16,0.1787,0.2132,0.9243,20.8281
2023-01-07,0,Houston,South,Food,Pantene,2607.25,326.31,7.99,7.99,False,0.0,10772.27,1809.16,0.242,0.1804,0.8922,29.2227
2023-01-07,0,Houston,South,Food,Private Label,1430.85,409.99,3.49,3.49,False,0.0,10772.27,1809.16,0.1328,0.2266,0.8537,16.7606
2023-01-07,0,Houston,South,Mass,Luminos,2313.88,356.53,6.49,6.49,False,0.0,16724.48,3005.6099999999997,0.1384,0.1186,0.7254,31.898
2023-01-07,0,Houston,South,Mass,Dove,4750.89,651.7,7.29,7.29,False,0.0,16724.48,3005.6099999999997,0.2841,0.2168,0.9388,50.606
2023-01-07,0,Houston,South,Mass,Suave,4135.92,990.41,4.99,4.176,True,0.6525,16724.48,3005.6099999999997,0.2473,0.3295,0.9037,45.7665
2023-01-07,0,Houston,South,Mass,Pantene,3567.92,446.55,7.99,7.99,False,0.0,16724.48,3005.6099999999997,0.2133,0.1486,0.9038,39.4769
2023-01-07,0,Houston,South,Mass,Private Label,1955.87,560.42,3.49,3.49,False,0.0,16724.48,3005.6099999999997,0.1169,0.1865,0.8504,22.9994
2023-01-07,0,Houston,South,Drug,Luminos,961.02,148.08,6.49,6.49,False,0.0,7820.16,1407.61,0.1229,0.1052,0.5998,16.0223
2023-01-07,0,Houston,South,Drug,Dove,1880.08,257.9,7.29,7.29,False,0.0,7820.16,1407.61,0.2404,0.1832,0.9256,20.312
2023-01-07,0,Houston,South,Drug,Suave,1901.62,443.26,4.99,4.29,True,0.5611,7820.16,1407.61,0.2432,0.3149,0.9017,21.0893
2023-01-07,0,Houston,South,Drug,Pantene,2262.8,324.95,7.99,6.9636,True,0.6423,7820.16,1407.61,0.2894,0.2309,0.8947,25.2912
2023-01-07,0,Houston,South,Drug,Private Label,814.64,233.42,3.49,3.49,False,0.0,7820.16,1407.61,0.1042,0.1658,0.8531,9.5492
2023-01-07,0,Philadelphia,Northeast,Food,Luminos,1689.01,260.25,6.49,6.49,False,0.0,14370.76,2654.5699999999997,0.1175,0.098,0.7212,23.4194
2023-01-07,0,Philadelphia,Northeast,Food,Dove,4586.81,754.93,7.29,6.0758,True,0.7571,14370.76,2654.5699999999997,0.3192,0.2844,0.9309,49.2729
2023-01-07,0,Philadelphia,Northeast,Food,Suave,2818.5,668.31,4.99,4.2174,True,0.6193,14370.76,2654.5699999999997,0.1961,0.2518,0.924,30.5032
2023-01-07,0,Philadelphia,Northeast,Food,Pantene,3900.12,576.72,7.99,6.7626,True,0.7681,14370.76,2654.5699999999997,0.2714,0.2173,0.8942,43.6157
2023-01-07,0,Philadelphia,Northeast,Food,Private Label,1376.32,394.36,3.49,3.49,False,0.0,14370.76,2654.5699999999997,0.0958,0.1486,0.8477,16.2359
2023-01-07,0,Philadelphia,Northeast,Mass,Luminos,2321.67,357.73,6.49,6.49,False,0.0,15282.01,2681.63,0.1519,0.1334,0.7268,31.9437
2023-01-07,0,Philadelphia,Northeast,Mass,Dove,4363.89,598.61,7.29,7.29,False,0.0,15282.01,2681.63,0.2856,0.2232,0.9199,47.4387
2023-01-07,0,Philadelphia,Northeast,Mass,Suave,2703.7,541.82,4.99,4.99,False,0.0,15282.01,2681.63,0.1769,0.202,0.9096,29.7241
2023-01-07,0,Philadelphia,Northeast,Mass,Pantene,3569.88,446.79,7.99,7.99,False,0.0,15282.01,2681.63,0.2336,0.1666,0.8961,39.838
2023-01-07,0,Philadelphia,Northeast,Mass,Private Label,2322.87,736.68,3.49,3.1532,True,0.6434,15282.01,2681.63,0.152,0.2747,0.8469,27.4279
2023-01-07,0,Philadelphia,Northeast,Drug,Luminos,1001.39,154.3,6.49,6.49,False,0.0,7496.16,1296.1299999999999,0.1336,0.119,0.6103,16.4082
2023-01-07,0,Philadelphia,Northeast,Drug,Dove,2896.64,465.09,7.29,6.2281,True,0.6621,7496.16,1296.1299999999999,0.3864,0.3588,0.9442,30.6782
2023-01-07,0,Philadelphia,Northeast,Drug,Suave,1218.56,244.2,4.99,4.99,False,0.0,7496.16,1296.1299999999999,0.1626,0.1884,0.9067,13.4395
2023-01-07,0,Philadelphia,Northeast,Drug,Pantene,1544.77,193.34,7.99,7.99,False,0.0,7496.16,1296.1299999999999,0.2061,0.1492,0.8989,17.1851
2023-01-07,0,Philadelphia,Northeast,Drug,Private Label,834.8,239.2,3.49,3.49,False,0.0,7496.16,1296.1299999999999,0.1114,0.1845,0.8544,9.7706
2023-01-07,0,Phoenix,West,Food,Luminos,2315.37,406.66,6.49,5.6936,True,0.6817,14103.88,2764.69,0.1642,0.1471,0.7064,32.777
2023-01-07,0,Phoenix,West,Food,Dove,4511.73,753.9,7.29,5.9845,True,0.814,14103.88,2764.69,0.3199,0.2727,0.9396,48.0176
2023-01-07,0,Phoenix,West,Food,Suave,3156.81,790.69,4.99,3.9925,True,0.7996,14103.88,2764.69,0.2238,0.286,0.9063,34.8318
2023-01-07,0,Phoenix,West,Food,Pantene,2530.94,316.76,7.99,7.99,False,0.0,14103.88,2764.69,0.1794,0.1146,0.9181,27.5671
2023-01-07,0,Phoenix,West,Food,Private Label,1589.03,496.68,3.49,3.1993,True,0.5553,14103.88,2764.69,0.1127,0.1797,0.8568,18.5461
2023-01-07,0,Phoenix,West,Mass,Luminos,3465.79,620.57,6.49,5.5848,True,0.7748,16551.05,2847.0699999999997,0.2094,0.218,0.7133,48.5881
2023-01-07,0,Phoenix,West,Mass,Dove,4699.61,644.67,7.29,7.29,False,0.0,16551.05,2847.0699999999997,0.2839,0.2264,0.9341,50.3116
2023-01-07,0,Phoenix,West,Mass,Suave,2697.24,540.53,4.99,4.99,False,0.0,16551.05,2847.0699999999997,0.163,0.1899,0.9108,29.614
2023-01-07,0,Phoenix,West,Mass,Pantene,3647.47,456.5,7.99,7.99,False,0.0,16551.05,2847.0699999999997,0.2204,0.1603,0.8869,41.1261
2023-01-07,0,Phoenix,West,Mass,Private Label,2040.94,584.8,3.49,3.49,False,0.0,16551.05,2847.0699999999997,0.1233,0.2054,0.8587,23.7678
2023-01-07,0,Phoenix,West,Drug,Luminos,922.1,142.08,6.49,6.49,False,0.0,7190.08,1226.65,0.1282,0.1158,0.6033,15.2843
2023-01-07,0,Phoenix,West,Drug,Dove,1791.98,245.81,7.29,7.29,False,0.0,7190.08,1226.65,0.2492,0.2004,0.9422,19.0191
2023-01-07,0,Phoenix,West,Drug,Suave,1195.72,239.62,4.99,4.99,False,0.0,7190.08,1226.65,0.1663,0.1953,0.8939,13.3764
2023-01-07,0,Phoenix,West,Drug,Pantene,2421.92,353.19,7.99,6.8573,True,0.7088,7190.08,1226.65,0.3368,0.2879,0.9071,26.6996
2023-01-07,0,Phoenix,West,Drug,Private Label,858.36,245.95,3.49,3.49,False,0.0,7190.08,1226.65,0.1194,0.2005,0.8324,10.3119
2023-01-07,0,San Antonio,South,Food,Luminos,2141.56,387.61,6.49,5.525,True,0.8261,14552.789999999999,2668.45,0.1472,0.1453,0.7231,29.6164
2023-01-07,0,San Antonio,South,Food,Dove,4853.15,761.8,7.29,6.3706,True,0.5732,14552.789999999999,2668.45,0.3335,0.2855,0.9274,52.3307
2023-01-07,0,San Antonio,South,Food,Suave,2062.51,413.33,4.99,4.99,False,0.0,14552.789999999999,2668.45,0.1417,0.1549,0.9111,22.6376
2023-01-07,0,San Antonio,South,Food,Pantene,3757.98,555.34,7.99,6.767,True,0.7653,14552.789999999999,2668.45,0.2582,0.2081,0.9086,41.3601
2023-01-07,0,San Antonio,South,Food,Private Label,1737.59,550.37,3.49,3.1571,True,0.6359,14552.789999999999,2668.45,0.1194,0.2063,0.8501,20.4398
2023-01-07,0,San Antonio,South,Mass,Luminos,2364.99,364.4,6.49,6.49,False,0.0,14836.89,2580.54,0.1594,0.1412,0.7249,32.6251
2023-01-07,0,San Antonio,South,Mass,Dove,4281.74,587.34,7.29,7.29,False,0.0,14836.89,2580.54,0.2886,0.2276,0.9553,44.8209
2023-01-07,0,San Antonio,South,Mass,Suave,2592.64,519.57,4.99,4.99,False,0.0,14836.89,2580.54,0.1747,0.2013,0.9127,28.4063
2023-01-07,0,San Antonio,South,Mass,Pantene,3433.53,429.73,7.99,7.99,False,0.0,14836.89,2580.54,0.2314,0.1665,0.886,38.7532
2023-01-07,0,San Antonio,South,Mass,Private Label,2163.99,679.5,3.49,3.1847,True,0.5833,14836.89,2580.54,0.1459,0.2633,0.8638,25.052
2023-01-07,0,San Antonio,South,Drug,Luminos,1381.64,246.09,6.49,5.6143,True,0.7496,6836.66,1175.8100000000002,0.2021,0.2093,0.5992,23.0581
2023-01-07,0,San Antonio,South,Drug,Dove,1884.25,258.47,7.29,7.29,False,0.0,6836.66,1175.8100000000002,0.2756,0.2198,0.9378,20.0922
2023-01-07,0,San Antonio,South,Drug,Suave,1297.63,260.05,4.99,4.99,False,0.0,6836.66,1175.8100000000002,0.1898,0.2212,0.8955,14.4906
2023-01-07,0,San Antonio,South,Drug,Pantene,1488.04,186.24,7.99,7.99,False,0.0,6836.66,1175.8100000000002,0.2177,0.1584,0.8925,16.6727
2023-01-07,0,San Antonio,South,Drug,Private Label,785.1,224.96,3.49,3.49,False,0.0,6836.66,1175.8100000000002,0.1148,0.1913,0.8447,9.2944
2023-01-07,0,Dallas,South,Food,Luminos,1678.37,258.61,6.49,6.49,False,0.0,12709.380000000001,2204.1,0.1321,0.1173,0.7195,23.3269
2023-01-07,0,Dallas,South,Food,Dove,4963.42,804.69,7.29,6.1681,True,0.6995,12709.380000000001,2204.1,0.3905,0.3651,0.943,52.6344
2023-01-07,0,Dallas,South,Food,Suave,2038.18,408.45,4.99,4.99,False,0.0,12709.380000000001,2204.1,0.1604,0.1853,0.894,22.7984
2023-01-07,0,Dallas,South,Food,Pantene,2616.3,327.45,7.99,7.99,False,0.0,12709.380000000001,2204.1,0.2059,0.1486,0.9005,29.0539
2023-01-07,0,Dallas,South,Food,Private Label,1413.11,404.9,3.49,3.49,False,0.0,12709.380000000001,2204.1,0.1112,0.1837,0.8477,16.6699
2023-01-07,0,Dallas,South,Mass,Luminos,2985.36,531.24,6.49,5.6196,True,0.7451,16247.56,2799.5699999999997,0.1837,0.1898,0.7124,41.9057
2023-01-07,0,Dallas,South,Mass,Dove,4633.23,635.56,7.29,7.29,False,0.0,16247.56,2799.5699999999997,0.2852,0.227,0.9511,48.7144
2023-01-07,0,Dallas,South,Mass,Suave,2930.29,587.23,4.99,4.99,False,0.0,16247.56,2799.5699999999997,0.1804,0.2098,0.9067,32.3182
2023-01-07,0,Dallas,South,Mass,Pantene,3639.49,455.51,7.99,7.99,False,0.0,16247.56,2799.5699999999997,0.224,0.1627,0.8884,40.9668
2023-01-07,0,Dallas,South,Mass,Private Label,2059.19,590.03,3.49,3.49,False,0.0,16247.56,2799.5699999999997,0.1267,0.2108,0.8454,24.3576
2023-01-07,0,Dallas,South,Drug,Luminos,957.61,147.55,6.49,6.49,False,0.0,8593.73,1484.13,0.1114,0.0994,0.6088,15.7295
2023-01-07,0,Dallas,South,Drug,Dove,3147.54,505.04,7.29,6.2322,True,0.6596,8593.73,1484.13,0.3663,0.3403,0.9409,33.4524
2023-01-07,0,Dallas,South,Drug,Suave,1191.72,238.82,4.99,4.99,False,0.0,8593.73,1484.13,0.1387,0.1609,0.911,13.0814
2023-01-07,0,Dallas,South,Drug,Pantene,2435.69,345.97,7.99,7.0401,True,0.5944,8593.73,1484.13,0.2834,0.2331,0.8852,27.5157
2023-01-07,0,Dallas,South,Drug,Private Label,861.17,246.75,3.49,3.49,False,0.0,8593.73,1484.13,0.1002,0.1663,0.8676,9.9259
2023-01-07,0,Detroit,Midwest,Food,Luminos,1591.75,245.26,6.49,6.49,False,0.0,10760.48,1802.48,0.1479,0.1361,0.7307,21.7839
2023-01-07,0,Detroit,Midwest,Food,Dove,3181.49,436.42,7.29,7.29,False,0.0,10760.48,1802.48,0.2957,0.2421,0.9224,34.4914
2023-01-07,0,Detroit,Midwest,Food,Suave,1934.55,387.68,4.99,4.99,False,0.0,10760.48,1802.48,0.1798,0.2151,0.9096,21.2681
2023-01-07,0,Detroit,Midwest,Food,Pantene,2652.9,332.03,7.99,7.99,False,0.0,10760.48,1802.48,0.2465,0.1842,0.8995,29.4931
2023-01-07,0,Detroit,Midwest,Food,Private Label,1399.79,401.09,3.49,3.49,False,0.0,10760.48,1802.48,0.1301,0.2225,0.8305,16.8548
2023-01-07,0,Detroit,Midwest,Mass,Luminos,2418.8,372.7,6.49,6.49,False,0.0,20066.21,3747.49,0.1205,0.0995,0.7185,33.6646
2023-01-07,0,Detroit,Midwest,Mass,Dove,6382.89,1065.12,7.29,5.9927,True,0.8089,20066.21,3747.49,0.3181,0.2842,0.935,68.2662
2023-01-07,0,Detroit,Midwest,Mass,Suave,4159.51,1014.51,4.99,4.1,True,0.7134,20066.21,3747.49,0.2073,0.2707,0.9163,45.3946
2023-01-07,0,Detroit,Midwest,Mass,Pantene,5252.4,764.33,7.99,6.8719,True,0.6997,20066.21,3747.49,0.2618,0.204,0.8689,60.4488
2023-01-07,0,Detroit,Midwest,Mass,Private Label,1852.61,530.83,3.49,3.49,False,0.0,20066.21,3747.49,0.0923,0.1416,0.836,22.1604
2023-01-07,0,Detroit,Midwest,Drug,Luminos,1297.53,224.63,6.49,5.7764,True,0.6109,7576.27,1317.12,0.1713,0.1705,0.5947,21.8182
2023-01-07,0,Detroit,Midwest,Drug,Dove,1928.96,264.6,7.29,7.29,False,0.0,7576.27,1317.12,0.2546,0.2009,0.9473,20.3627
2023-01-07,0,Detroit,Midwest,Drug,Suave,1262.31,252.97,4.99,4.99,False,0.0,7576.27,1317.12,0.1666,0.1921,0.9165,13.7732
2023-01-07,0,Detroit,Midwest,Drug,Pantene,2270.0,340.69,7.99,6.663,True,0.8304,7576.27,1317.12,0.2996,0.2587,0.8922,25.4427
2023-01-07,0,Detroit,Midwest,Drug,Private Label,817.47,234.23,3.49,3.49,False,0.0,7576.27,1317.12,0.1079,0.1778,0.8481,9.6388
2023-01-07,0,Seattle,West,Food,Luminos,1712.25,263.83,6.49,6.49,False,0.0,12187.2,2084.7200000000003,0.1405,0.1266,0.7226,23.6957
2023-01-07,0,Seattle,West,Food,Dove,3019.2,414.16,7.29,7.29,False,0.0,12187.2,2084.7200000000003,0.2477,0.1987,0.9483,31.838
2023-01-07,0,Seattle,West,Food,Suave,2086.41,418.12,4.99,4.99,False,0.0,12187.2,2084.7200000000003,0.1712,0.2006,0.9236,22.59
2023-01-07,0,Seattle,West,Food,Pantene,3942.01,579.63,7.99,6.801,True,0.7441,12187.2,2084.7200000000003,0.3235,0.278,0.8704,45.2896
2023-01-07,0,Seattle,West,Food,Private Label,1427.33,408.98,3.49,3.49,False,0.0,12187.2,2084.7200000000003,0.1171,0.1962,0.8556,16.6822
2023-01-07,0,Seattle,West,Mass,Luminos,2224.45,342.75,6.49,6.49,False,0.0,19020.88,3269.9300000000003,0.1169,0.1048,0.7161,31.0634
2023-01-07,0,Seattle,West,Mass,Dove,6478.67,1020.6,7.29,6.3479,True,0.5874,19020.88,3269.9300000000003,0.3406,0.3121,0.9304,69.6332
2023-01-07,0,Seattle,West,Mass,Suave,2661.4,533.35,4.99,4.99,False,0.0,19020.88,3269.9300000000003,0.1399,0.1631,0.9108,29.2205
2023-01-07,0,Seattle,West,Mass,Pantene,5836.08,851.66,7.99,6.8526,True,0.7118,19020.88,3269.9300000000003,0.3068,0.2605,0.895,65.2076
2023-01-07,0,Seattle,West,Mass,Private Label,1820.28,521.57,3.49,3.49,False,0.0,19020.88,3269.9300000000003,0.0957,0.1595,0.8555,21.2774
2023-01-07,0,Seattle,West,Drug,Luminos,1080.08,166.42,6.49,6.49,False,0.0,8085.62,1409.38,0.1336,0.1181,0.5988,18.0374
2023-01-07,0,Seattle,West,Drug,Dove,2855.64,452.6,7.29,6.3094,True,0.6114,8085.62,1409.38,0.3532,0.3211,0.932,30.6399
2023-01-07,0,Seattle,West,Drug,Suave,1191.58,238.79,4.99,4.99,False,0.0,8085.62,1409.38,0.1474,0.1694,0.9121,13.0641
2023-01-07,0,Seattle,West,Drug,Pantene,2144.74,318.45,7.99,6.735,True,0.7854,8085.62,1409.38,0.2653,0.226,0.9024,23.7671
2023-01-07,0,Seattle,West,Drug,Private Label,813.58,233.12,3.49,3.49,False,0.0,8085.62,1409.38,0.1006,0.1654,0.8451,9.627
2023-01-14,1,New York,Northeast,Food,Luminos,2374.56,429.31,6.49,5.5311,True,0.8208,12267.17,2291.76,0.1936,0.1873,0.7195,33.0029
2023-01-14,1,New York,Northeast,Food,Dove,2956.4,405.54,7.29,7.29,False,0.0,12267.17,2291.76,0.241,0.177,0.9361,31.5821
2023-01-14,1,New York,Northeast,Food,Suave,2988.91,727.93,4.99,4.1061,True,0.7086,12267.17,2291.76,0.2437,0.3176,0.9162,32.6229
2023-01-14,1,New York,Northeast,Food,Pantene,2491.36,311.81,7.99,7.99,False,0.0,12267.17,2291.76,0.2031,0.1361,0.9007,27.6603
2023-01-14,1,New York,Northeast,Food,Private Label,1455.94,417.17,3.49,3.49,False,0.0,12267.17,2291.76,0.1187,0.182,0.8394,17.345
2023-01-14,1,New York,Northeast,Mass,Luminos,2344.12,361.19,6.49,6.49,False,0.0,17040.36,2899.24,0.1376,0.1246,0.7155,32.762
2023-01-14,1,New York,Northeast,Mass,Dove,4404.33,604.16,7.29,7.29,False,0.0,17040.36,2899.24,0.2585,0.2084,0.9379,46.9595
2023-01-14,1,New York,Northeast,Mass,Suave,2754.46,552.0,4.99,4.99,False,0.0,17040.36,2899.24,0.1616,0.1904,0.9138,30.1429
2023-01-14,1,New York,Northeast,Mass,Pantene,5523.42,804.81,7.99,6.863,True,0.7052,17040.36,2899.24,0.3241,0.2776,0.8923,61.9009
2023-01-14,1,New York,Northeast,Mass,Private Label,2014.03,577.08,3.49,3.49,False,0.0,17040.36,2899.24,0.1182,0.199,0.85,23.6945
2023-01-14,1,New York,Northeast,Drug,Luminos,983.45,151.53,6.49,6.49,False,0.0,6593.64,1105.61,0.1492,0.1371,0.6024,16.3255
2023-01-14,1,New York,Northeast,Drug,Dove,2033.5,278.94,7.29,7.29,False,0.0,6593.64,1105.61,0.3084,0.2523,0.9296,21.875
2023-01-14,1,New York,Northeast,Drug,Suave,1269.46,254.4,4.99,4.99,False,0.0,6593.64,1105.61,0.1925,0.2301,0.9005,14.0973
2023-01-14,1,New York,Northeast,Drug,Pantene,1489.47,186.42,7.99,7.99,False,0.0,6593.64,1105.61,0.2259,0.1686,0.8803,16.92
2023-01-14,1,New York,Northeast,Drug,Private Label,817.76,234.32,3.49,3.49,False,0.0,6593.64,1105.61,0.124,0.2119,0.8603,9.5055
2023-01-14,1,Los Angeles,West,Food,Luminos,1686.03,259.79,6.49,6.49,False,0.0,11615.75,2135.03,0.1452,0.1217,0.7237,23.2974
2023-01-14,1,Los Angeles,West,Food,Dove,3008.54,412.69,7.29,7.29,False,0.0,11615.75,2135.03,0.259,0.1933,0.928,32.4196
2023-01-14,1,Los Angeles,West,Food,Suave,3116.71,764.74,4.99,4.0755,True,0.7331,11615.75,2135.03,0.2683,0.3582,0.9114,34.1969
2023-01-14,1,Los Angeles,West,Food,Pantene,2430.9,304.24,7.99,7.99,False,0.0,11615.75,2135.03,0.2093,0.1425,0.8879,27.3781
2023-01-14,1,Los Angeles,West,Food,Private Label,1373.57,393.57,3.49,3.49,False,0.0,11615.75,2135.03,0.1183,0.1843,0.8559,16.0483
2023-01-14,1,Los Angeles,West,Mass,Luminos,2293.81,353.44,6.49,6.49,False,0.0,18985.56,3548.09,0.1208,0.0996,0.7232,31.7175
2023-01-14,1,Los Angeles,West,Mass,Dove,6936.91,1124.98,7.29,6.1662,True,0.7007,18985.56,3548.09,0.3654,0.3171,0.9552,72.6226
